baseline,count,repetition,updates_per_actor,create_total_ms,create_per_actor_ms,pose_update_total_ms,pose_update_per_actor_update_ms,shape_update_total_ms,shape_update_per_actor_ms,actors_after_create,actors_after_pose,actors_after_shape,components_after_create,components_after_pose,components_after_shape,component_names_reused_during_pose,component_names_reused_during_shape,create_payload_bytes,pose_payload_bytes_total,shape_payload_bytes,create_ok,pose_ok,shape_ok,mode
unreal_assets,100,5,5,34.61000000243075,0.3461000000243075,7.527599998866208,0.015055199997732416,2.016300000832416,0.02016300000832416,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,6,5,33.28969998983666,0.33289699989836663,7.377899994025938,0.014755799988051876,2.1092000097269192,0.021092000097269192,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,7,5,33.38409999560099,0.3338409999560099,7.3373999912291765,0.014674799982458353,2.048299997113645,0.02048299997113645,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,8,5,34.357700002146885,0.34357700002146885,7.629899992025457,0.015259799984050915,1.999900006921962,0.01999900006921962,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,9,5,35.56859999662265,0.3556859999662265,7.2220000001834705,0.014444000000366941,2.1431000059237704,0.021431000059237704,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,0,5,81.74520000466146,0.3269808000186458,18.38500000303611,0.01470800000242889,5.172599994693883,0.02069039997877553,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,1,5,77.93949999904726,0.31175799999618903,19.105999992461875,0.0152847999939695,6.2316999974427745,0.024926799989771098,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,2,5,81.7045000003418,0.3268180000013672,19.33880000433419,0.015471040003467352,5.878399999346584,0.023513599997386336,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,3,5,79.20180000655819,0.31680720002623275,17.463899988797493,0.013971119991037995,5.133600003318861,0.020534400013275445,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,4,5,78.36980000138283,0.3134792000055313,17.689300002530217,0.014151440002024174,4.885399990598671,0.019541599962394685,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,5,5,78.32200000120793,0.3132880000048317,17.69829999830108,0.014158639998640865,4.663200001232326,0.018652800004929304,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,6,5,76.01760000397917,0.3040704000159167,17.543400012073107,0.014034720009658486,4.856400002609007,0.019425600010436028,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,7,5,78.40990000113379,0.31363960000453517,17.392099995049648,0.013913679996039718,5.233099989709444,0.020932399958837777,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,8,5,80.43599998927675,0.321743999957107,16.64139999775216,0.013313119998201728,4.7341000026790425,0.01893640001071617,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,250,9,5,77.73209999140818,0.3109283999656327,17.443100005039014,0.013954480004031211,4.781699986779131,0.019126799947116524,250,250,250,250,250,250,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,0,5,157.08750000339933,0.31417500000679865,52.73799999849871,0.021095199999399482,14.496500007226132,0.028993000014452264,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,1,5,166.0661999922013,0.3321323999844026,46.12749999796506,0.018450999999186025,12.804500001948327,0.025609000003896654,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,2,5,172.06609999993816,0.3441321999998763,46.67679998965468,0.018670719995861874,12.91510000010021,0.02583020000020042,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,3,5,164.04249999322928,0.32808499998645857,39.813700001104735,0.015925480000441895,11.677000002237037,0.023354000004474074,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,4,5,164.05009999289177,0.32810019998578355,43.486499998834915,0.017394599999533966,12.992299991310574,0.025984599982621148,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,5,5,166.76619999634568,0.33353239999269135,41.92479999619536,0.016769919998478145,12.08990000304766,0.02417980000609532,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,6,5,164.44310000224505,0.3288862000044901,50.524799997219816,0.020209919998887927,10.730199996032752,0.021460399992065504,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,7,5,162.88219999114517,0.32576439998229034,39.848399988841265,0.015939359995536508,10.98900000215508,0.02197800000431016,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,8,5,157.68029999162536,0.3153605999832507,44.188100000610575,0.01767524000024423,12.873099985881709,0.025746199971763417,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,500,9,5,167.758200012031,0.335516400024062,43.7108000041917,0.017484320001676677,13.305600004969165,0.02661120000993833,500,500,500,500,500,500,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,0,5,9.714399988297373,0.9714399988297373,1.7970000044442713,0.035940000088885427,0.498099994729273,0.0498099994729273,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,1,5,9.217999991960824,0.9217999991960824,1.4888000005157664,0.02977600001031533,0.46409999777097255,0.046409999777097255,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,2,5,9.495699996477924,0.9495699996477924,1.425599999492988,0.02851199998985976,0.4557999927783385,0.04557999927783385,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,3,5,9.97869999264367,0.9978699992643669,1.4494999923044816,0.02898999984608963,0.447600003099069,0.0447600003099069,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,4,5,9.44760000857059,0.9447600008570589,1.478200007113628,0.029564000142272562,0.46609999844804406,0.046609999844804406,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,5,5,9.595400013495237,0.9595400013495237,2.666600004886277,0.05333200009772554,0.6885000038892031,0.06885000038892031,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,6,5,9.081299998797476,0.9081299998797476,1.4636999985668808,0.029273999971337616,0.46660000225529075,0.046660000225529075,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,7,5,8.507499995175749,0.8507499995175749,1.411499993992038,0.02822999987984076,0.45000000682193786,0.045000000682193786,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,8,5,8.694500007550232,0.8694500007550232,1.4489999884972349,0.028979999769944698,0.44720000005327165,0.044720000005327165,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,10,9,5,8.580999987316318,0.8580999987316318,1.4155000098980963,0.028310000197961926,0.44770000386051834,0.044770000386051834,10,10,10,110,110,110,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,0,5,33.619800000451505,0.6723960000090301,6.243299998459406,0.024973199993837625,1.9585999980336055,0.03917199996067211,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
