baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,component_names_reused_during_pose,component_names_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
ellipsoid_proxy,50,3,5,9.601099998690188,0.19202199997380376,2.2028999956091866,0.008811599982436746,0.26539999817032367,0.005307999963406473,0.000300002284348011,6.00004568696022e-06,2.2074000007705763,0.044148000015411526,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,50,4,5,17.361000005621463,0.34722000011242926,2.192200001445599,0.008768800005782396,0.2972999936901033,0.005945999873802066,0.000500003807246685,1.00000761449337e-05,2.244599992991425,0.0448919998598285,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,50,5,5,17.551100012497045,0.3510220002499409,2.140199998393655,0.00856079999357462,0.26709999656304717,0.005341999931260943,0.000400003045797348,8.00006091594696e-06,2.223999996203929,0.044479999924078584,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,50,6,5,17.090399996959604,0.3418079999391921,2.1492000087164342,0.008596800034865737,0.2783999952953309,0.005567999905906618,0.000300002284348011,6.00004568696022e-06,2.01569999626372,0.0403139999252744,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,50,7,5,16.89490000717342,0.3378980001434684,2.228500001365319,0.008914000005461276,0.3264999977545813,0.0065299999550916255,0.0006999907782301307,1.3999815564602613e-05,2.2769000061089173,0.045538000122178346,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,50,8,5,17.583799999556504,0.3516759999911301,2.198099988163449,0.008792399952653795,0.28229999588802457,0.005645999917760491,0.00039998849388211966,7.999769877642393e-06,2.24240000534337,0.0448480001068674,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,50,9,5,17.300999999861233,0.34601999999722466,2.1689000132028013,0.008675600052811205,0.3020000003743917,0.0060400000074878335,0.000500003807246685,1.00000761449337e-05,2.258699998492375,0.0451739999698475,50,50,50,50,50,50,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,0,5,30.467200005659834,0.30467200005659834,4.157000003033318,0.008314000006066635,0.5143000016687438,0.005143000016687438,0.001100008375942707,1.100008375942707e-05,4.594099998939782,0.045940999989397824,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,1,5,35.14520000317134,0.3514520000317134,4.238400011672638,0.008476800023345277,0.49399999261368066,0.004939999926136807,0.000300002284348011,3.00002284348011e-06,4.166600003372878,0.04166600003372878,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,2,5,34.67510000336915,0.3467510000336915,4.229600002872758,0.008459200005745515,0.49679999938234687,0.004967999993823469,0.000400003045797348,4.00003045797348e-06,4.456400012713857,0.04456400012713857,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
