backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,250,1,shape_param_update,6,86837,5.879500,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,7,88926,6.365700,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,8,86775,6.052100,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,9,88626,6.137500,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,10,88690,6.131000,1,1,11,516016,11
semantic_proxy_instanced,250,2,create,0,944478,46.899600,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,1,33086,3.917800,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,2,32422,3.877800,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,3,32988,3.687000,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,4,32120,3.851100,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,5,32742,3.849800,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,6,32552,3.998600,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,7,32764,3.764200,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,8,32786,4.085000,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,9,32516,3.658700,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,10,32760,3.789700,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,1,87059,5.963400,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,2,88852,6.481500,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,3,86880,6.182400,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,4,86213,6.143600,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,5,86511,6.131800,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,6,86837,6.221700,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,7,88926,6.269500,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,8,86775,5.876800,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,9,88626,6.045700,1,1,11,516016,11
semantic_proxy_instanced,250,2,shape_param_update,10,88690,6.115300,1,1,11,516016,11
semantic_proxy_instanced,500,0,create,0,1884510,92.261200,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,1,65848,8.548400,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,2,64538,8.686500,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,3,65244,8.004100,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,4,63901,8.440400,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,5,65162,8.690200,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,6,64836,9.035900,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,7,65698,8.771100,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,8,65233,9.659700,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,9,64754,8.625500,1,1,11,1028400,11
semantic_proxy_instanced,500,0,pose_update,10,65275,9.106300,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,1,175737,13.343300,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,2,173093,12.902900,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,3,175812,13.176000,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,4,174036,12.975100,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,5,173001,13.351300,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,6,173058,12.662300,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,7,175612,13.201300,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,8,175149,12.566200,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,9,172669,11.846100,1,1,11,1028400,11
semantic_proxy_instanced,500,0,shape_param_update,10,175176,13.192700,1,1,11,1028400,11
semantic_proxy_instanced,500,1,create,0,1884510,95.220700,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,1,65848,9.197900,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,2,64538,9.597100,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,3,65244,8.800800,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,4,63901,9.085800,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,5,65162,8.791800,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,6,64836,9.344200,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,7,65698,8.920900,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,8,65233,8.102200,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,9,64754,9.248100,1,1,11,1028400,11
semantic_proxy_instanced,500,1,pose_update,10,65275,8.788100,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,1,175737,13.341600,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,2,173093,18.046000,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,3,175812,12.093200,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,4,174036,12.323900,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,5,173001,12.265500,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,6,173058,12.747500,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,7,175612,13.305800,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,8,175149,13.087400,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,9,172669,13.654400,1,1,11,1028400,11
semantic_proxy_instanced,500,1,shape_param_update,10,175176,13.238400,1,1,11,1028400,11
semantic_proxy_instanced,500,2,create,0,1884510,95.707500,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,1,65848,8.539700,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,2,64538,9.687600,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,3,65244,8.634200,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,4,63901,9.609400,1,1,11,1028400,11
