baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
unreal_assets,50,shape,10,10.176640001009218,9.895999988657422,11.696400004439056,11.696400004439056,0.19791999977314845,0.23392800008878112,10,50,52191
unreal_assets,100,create,10,69.76070999953663,69.49789999634959,72.71150000451598,72.71150000451598,0.6949789999634959,0.7271150000451598,10,100,492107
unreal_assets,100,pose_poll,50,21.546636000275612,21.487300007720478,23.743600002489984,25.368700007675216,0.21487300007720478,0.23743600002489984,50,100,152241.4
unreal_assets,100,shape,10,14.933349999773782,14.774600000237115,16.935799998464063,16.935799998464063,0.14774600000237115,0.16935799998464063,10,100,104367
unreal_assets,250,create,10,171.26294000045164,172.4443999992218,187.2226999985287,187.2226999985287,0.6897775999968871,0.7488907999941148,10,250,1230421
unreal_assets,250,pose_poll,50,46.95064999948954,47.051900008227676,50.550700005260296,51.865699992049485,0.1882076000329107,0.20220280002104118,50,250,380750.8
unreal_assets,250,shape,10,31.250150002597366,31.360299995867535,33.73490000376478,33.73490000376478,0.12544119998347014,0.1349396000150591,10,250,261060
unreal_assets,500,create,10,350.268820002384,357.43279999587685,371.60210000001825,371.60210000001825,0.7148655999917537,0.7432042000000365,10,500,2460928
unreal_assets,500,pose_poll,50,90.76531600061571,91.45170000556391,96.7571999935899,97.60219999589026,0.18290340001112781,0.19351439998717979,50,500,761586.2
unreal_assets,500,shape,10,59.552579998853616,58.465599999180995,66.44029999733903,66.44029999733903,0.11693119999836199,0.13288059999467805,10,500,522206
semantic_proxy,10,create,10,22.007610002765432,22.70090000820346,24.70940000785049,24.70940000785049,2.270090000820346,2.470940000785049,10,110,58384
semantic_proxy,10,pose_poll,50,6.817537999886554,6.7745999986073,8.261200011475012,9.201299995766021,0.67745999986073,0.8261200011475012,50,110,12707.6
semantic_proxy,10,shape,10,6.81351000093855,6.767800005036406,7.60949999676086,7.60949999676086,0.6767800005036406,0.760949999676086,10,110,10345
semantic_proxy,50,create,10,71.63530999969225,74.2197999934433,77.3027999966871,77.3027999966871,1.484395999868866,1.546055999933742,10,268,246060
semantic_proxy,50,pose_poll,50,17.113432000332978,17.370799992932007,19.00289999321103,20.139100000960752,0.34741599985864013,0.3800579998642206,50,268,76128.4
semantic_proxy,50,shape,10,13.209489999280777,13.48919999145437,14.08040001115296,14.08040001115296,0.2697839998290874,0.2816080002230592,10,268,52191
semantic_proxy,100,create,10,145.752970004105,146.24600000388455,150.69260000018403,150.69260000018403,1.4624600000388455,1.5069260000018403,10,536,492107
semantic_proxy,100,pose_poll,50,28.201868000032846,29.374699995969422,31.823700002860278,33.22100000514183,0.2937469999596942,0.3182370000286028,50,536,152241.4
semantic_proxy,100,shape,10,23.360259998298716,22.10709999781102,30.106599995633587,30.106599995633587,0.2210709999781102,0.3010659999563359,10,536,104367
semantic_proxy,250,create,10,364.3885599973146,367.4116000038339,391.74339998862706,391.74339998862706,1.4696464000153355,1.5669735999545082,10,1340,1230421
semantic_proxy,250,pose_poll,50,67.43212799920002,67.98839999828488,72.30869999330025,74.03940000222065,0.2719535999931395,0.289234799973201,50,1340,380750.8
semantic_proxy,250,shape,10,49.67084999952931,49.02470001252368,52.431699994485825,52.431699994485825,0.19609880005009472,0.2097267999779433,10,1340,261060
semantic_proxy,500,create,10,746.3975400023628,738.5599999979604,839.2923999927007,839.2923999927007,1.4771199999959208,1.6785847999854013,10,2680,2460928
semantic_proxy,500,pose_poll,50,133.44108999939635,134.0057000052184,142.26330000383314,158.68589999445248,0.2680114000104368,0.2845266000076663,50,2680,761586.2
semantic_proxy,500,shape,10,97.39987999637378,95.35479999613017,112.51969999284483,112.51969999284483,0.19070959999226034,0.22503939998568967,10,2680,522206
