variant,base_label,method,target_length_m,target_width_m,target_height_m,aabb_length_m,aabb_width_m,aabb_height_m,mean_dim_rel_error,p50_build_ms,p95_build_ms,triangles,mesh_path
car_compact,car,sppa_fixed,3.6,1.75,1.5,2.4,1.2812435565298212,1.2722276527763654,0.2510141298852862,0.2733000001171604,0.34789998608175665,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/car_compact/car_compact.obj
car_compact,car,sppa_global_scaled,3.6,1.75,1.5,3.5999999999999996,1.75,1.5,4.111937128241321e-17,0.42135000694543123,0.48659999447409064,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/car_compact/car_compact.obj
car_compact,car,sppa_parametric,3.6,1.75,1.5,3.4698,1.7325565075727338,1.4657085466653108,0.022998448504965744,0.27660000341711566,0.30559999868273735,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_parametric/car_compact/car_compact.obj
car_compact,car,box,3.6,1.75,1.5,3.6,1.75,1.5,0.0,0.0045000051613897085,0.006799993570894003,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/car_compact/car_compact.obj
car_long,car,sppa_fixed,5.1,1.9,1.7,2.4,1.2812435565298212,1.2722276527763654,0.36890128107576986,0.26605000311974436,0.28810001094825566,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/car_long/car_long.obj
car_long,car,sppa_global_scaled,5.1,1.9,1.7,5.1,1.9,1.6999999999999997,4.353815782843751e-17,0.4189999963273294,0.4901000065729022,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/car_long/car_long.obj
car_long,car,sppa_parametric,5.1,1.9,1.7,4.952439999999999,1.880230708582432,1.5784696862206857,0.036942214474430295,0.2741999996942468,0.2952999930130318,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_parametric/car_long/car_long.obj
car_long,car,box,5.1,1.9,1.7,5.1,1.9,1.7,0.0,0.0045000051613897085,0.006999995093792677,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/car_long/car_long.obj
truck_short,truck,sppa_fixed,5.2,2.3,2.7,3.56,1.3612435565298213,1.2822276527763652,0.4162134867161731,0.566999995498918,0.6467000057455152,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/truck_short/truck_short.obj
truck_short,truck,sppa_global_scaled,5.2,2.3,2.7,5.2,2.3,2.7000000000000006,5.482582837655094e-17,0.8619000000180677,0.9327000007033348,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/truck_short/truck_short.obj
truck_short,truck,sppa_parametric,5.2,2.3,2.7,4.942080000000001,2.2748234938791714,2.6878285042477885,0.021684756132921257,0.4130000015720725,0.48580000293441117,1284,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_parametric/truck_short/truck_short.obj
truck_short,truck,box,5.2,2.3,2.7,5.2,2.3,2.7,0.0,0.004699992132373154,0.007099995855242014,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/truck_short/truck_short.obj
truck_long,truck,sppa_fixed,8.2,2.55,3.05,3.56,1.3612435565298213,1.2822276527763652,0.5372100489562887,0.5692000049748458,0.6634000019403175,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/truck_long/truck_long.obj
truck_long,truck,sppa_global_scaled,8.2,2.55,3.05,8.2,2.55,3.05,0.0,0.858799998241011,0.9457999985897914,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/truck_long/truck_long.obj
