frame_idx,t_rel_s,t_unix,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
200,3.419191,1783330731.672,42.1425290,-1.5885195,303.53,47.15,0.43,-7.20,74.02
201,3.436287,1783330731.689,42.1425291,-1.5885176,303.55,47.17,0.49,-7.16,73.99
202,3.453383,1783330731.706,42.1425292,-1.5885158,303.56,47.18,0.54,-7.12,73.98
203,3.470479,1783330731.723,42.1425294,-1.5885139,303.58,47.20,0.55,-7.08,73.99
204,3.487575,1783330731.741,42.1425295,-1.5885120,303.60,47.22,0.57,-7.04,74.00
205,3.504671,1783330731.758,42.1425296,-1.5885102,303.62,47.24,0.58,-7.01,74.01
206,3.521767,1783330731.775,42.1425322,-1.5885161,303.33,46.95,0.60,-6.97,74.02
207,3.538863,1783330731.792,42.1425322,-1.5885098,303.42,47.04,0.61,-6.93,74.03
208,3.555959,1783330731.809,42.1425324,-1.5885081,303.43,47.05,0.66,-6.94,74.02
209,3.573055,1783330731.826,42.1425325,-1.5885064,303.45,47.07,0.75,-7.00,74.00
210,3.590151,1783330731.843,42.1425326,-1.5885047,303.47,47.09,0.84,-7.05,73.98
211,3.607247,1783330731.860,42.1425328,-1.5885030,303.48,47.10,0.92,-7.11,73.96
212,3.624343,1783330731.877,42.1425329,-1.5885013,303.50,47.12,1.01,-7.17,73.94
213,3.641439,1783330731.894,42.1425330,-1.5884996,303.52,47.14,1.10,-7.23,73.92
214,3.658535,1783330731.912,42.1425331,-1.5884980,303.54,47.16,1.13,-7.25,73.91
215,3.675631,1783330731.929,42.1425333,-1.5884963,303.55,47.17,1.13,-7.25,73.91
216,3.692727,1783330731.946,42.1425334,-1.5884946,303.57,47.19,1.13,-7.25,73.91
217,3.709823,1783330731.963,42.1425335,-1.5884929,303.59,47.21,1.14,-7.24,73.90
218,3.726919,1783330731.980,42.1425337,-1.5884912,303.60,47.22,1.14,-7.24,73.90
219,3.744015,1783330731.997,42.1425366,-1.5884965,303.29,46.91,1.14,-7.24,73.90
220,3.761110,1783330732.014,42.1425362,-1.5884909,303.41,47.03,1.15,-7.23,73.88
221,3.778206,1783330732.031,42.1425363,-1.5884890,303.43,47.05,1.17,-7.21,73.86
222,3.795302,1783330732.048,42.1425365,-1.5884871,303.45,47.07,1.18,-7.19,73.83
223,3.812398,1783330732.065,42.1425366,-1.5884852,303.47,47.09,1.20,-7.17,73.81
224,3.829494,1783330732.082,42.1425368,-1.5884833,303.49,47.11,1.21,-7.15,73.79
225,3.846590,1783330732.100,42.1425369,-1.5884814,303.51,47.13,1.23,-7.13,73.76
226,3.863686,1783330732.117,42.1425371,-1.5884796,303.53,47.15,1.24,-7.14,73.76
227,3.880782,1783330732.134,42.1425372,-1.5884777,303.55,47.17,1.26,-7.14,73.75
228,3.897878,1783330732.151,42.1425374,-1.5884758,303.57,47.19,1.28,-7.15,73.75
229,3.914974,1783330732.168,42.1425375,-1.5884739,303.59,47.21,1.29,-7.16,73.75
230,3.932070,1783330732.185,42.1425377,-1.5884720,303.61,47.23,1.31,-7.16,73.74
231,3.949166,1783330732.202,42.1425402,-1.5884715,303.42,47.04,1.32,-7.17,73.74
232,3.966262,1783330732.219,42.1425404,-1.5884698,303.43,47.05,1.34,-7.14,73.72
233,3.983358,1783330732.236,42.1425405,-1.5884681,303.45,47.07,1.35,-7.12,73.71
234,4.000454,1783330732.253,42.1425407,-1.5884665,303.46,47.08,1.37,-7.09,73.69
235,4.017550,1783330732.271,42.1425408,-1.5884648,303.48,47.10,1.38,-7.07,73.68
236,4.034646,1783330732.288,42.1425410,-1.5884631,303.50,47.12,1.40,-7.04,73.66
237,4.051742,1783330732.305,42.1425411,-1.5884614,303.51,47.13,1.42,-7.02,73.65
238,4.068838,1783330732.322,42.1425413,-1.5884597,303.53,47.15,1.44,-7.05,73.63
239,4.085934,1783330732.339,42.1425414,-1.5884580,303.55,47.17,1.46,-7.07,73.62
240,4.103030,1783330732.356,42.1425416,-1.5884563,303.56,47.18,1.49,-7.09,73.60
241,4.120126,1783330732.373,42.1425417,-1.5884546,303.58,47.20,1.51,-7.11,73.58
242,4.137222,1783330732.390,42.1425442,-1.5884541,303.39,47.01,1.54,-7.13,73.57
243,4.154317,1783330732.407,42.1425444,-1.5884522,303.40,47.02,1.56,-7.12,73.56
244,4.171413,1783330732.424,42.1425446,-1.5884503,303.42,47.04,1.60,-7.07,73.57
245,4.188509,1783330732.442,42.1425447,-1.5884484,303.44,47.06,1.64,-7.02,73.58
246,4.205605,1783330732.459,42.1425449,-1.5884465,303.46,47.08,1.68,-6.97,73.59
247,4.222701,1783330732.476,42.1425451,-1.5884446,303.48,47.10,1.72,-6.92,73.60
248,4.239797,1783330732.493,42.1425452,-1.5884427,303.50,47.12,1.76,-6.87,73.62
249,4.256893,1783330732.510,42.1425454,-1.5884409,303.52,47.14,1.78,-6.84,73.61
250,4.273989,1783330732.527,42.1425455,-1.5884390,303.54,47.16,1.77,-6.83,73.59
251,4.291085,1783330732.544,42.1425457,-1.5884371,303.56,47.18,1.77,-6.82,73.57
252,4.308181,1783330732.561,42.1425459,-1.5884352,303.58,47.20,1.77,-6.81,73.55
253,4.325277,1783330732.578,42.1425490,-1.5884399,303.25,46.87,1.76,-6.80,73.53
254,4.342373,1783330732.595,42.1425484,-1.5884349,303.38,47.00,1.76,-6.79,73.52
255,4.359469,1783330732.612,42.1425485,-1.5884332,303.40,47.02,1.78,-6.77,73.51
256,4.376565,1783330732.630,42.1425487,-1.5884315,303.41,47.03,1.80,-6.74,73.51
257,4.393661,1783330732.647,42.1425488,-1.5884298,303.43,47.05,1.82,-6.72,73.51
258,4.410757,1783330732.664,42.1425489,-1.5884281,303.45,47.07,1.85,-6.69,73.50
259,4.427853,1783330732.681,42.1425491,-1.5884264,303.47,47.09,1.87,-6.66,73.50
260,4.444949,1783330732.698,42.1425492,-1.5884247,303.48,47.10,1.90,-6.63,73.50
261,4.462045,1783330732.715,42.1425493,-1.5884230,303.50,47.12,1.90,-6.62,73.51
262,4.479141,1783330732.732,42.1425495,-1.5884213,303.52,47.14,1.91,-6.60,73.51
263,4.496237,1783330732.749,42.1425496,-1.5884196,303.53,47.15,1.91,-6.58,73.52
264,4.513333,1783330732.766,42.1425497,-1.5884179,303.55,47.17,1.91,-6.56,73.53
265,4.530429,1783330732.783,42.1425499,-1.5884162,303.57,47.19,1.92,-6.55,73.53
266,4.547525,1783330732.801,42.1425524,-1.5884157,303.39,47.01,1.92,-6.53,73.54
267,4.564620,1783330732.818,42.1425526,-1.5884140,303.40,47.02,1.90,-6.54,73.54
268,4.581716,1783330732.835,42.1425527,-1.5884123,303.42,47.04,1.89,-6.56,73.54
269,4.598812,1783330732.852,42.1425529,-1.5884106,303.44,47.06,1.87,-6.57,73.55
270,4.615908,1783330732.869,42.1425530,-1.5884089,303.45,47.07,1.85,-6.58,73.55
271,4.633004,1783330732.886,42.1425532,-1.5884072,303.47,47.09,1.83,-6.60,73.55
272,4.650100,1783330732.903,42.1425533,-1.5884055,303.49,47.11,1.82,-6.61,73.55
273,4.667196,1783330732.920,42.1425534,-1.5884038,303.50,47.12,1.82,-6.59,73.57
274,4.684292,1783330732.937,42.1425536,-1.5884021,303.52,47.14,1.82,-6.58,73.59
