frame,t_unix,t_rel_s,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
103,1783330751.409,10.300,42.1433756,-1.5880507,303.09,46.53,0.76,-6.32,347.47
104,1783330751.509,10.400,42.1433812,-1.5880524,303.37,46.81,0.77,-6.38,347.46
105,1783330751.609,10.500,42.1433890,-1.5880549,303.09,46.53,0.85,-6.34,347.54
106,1783330751.709,10.600,42.1433946,-1.5880566,303.38,46.82,0.81,-6.43,347.44
107,1783330751.809,10.700,42.1434023,-1.5880591,303.09,46.53,0.98,-6.41,347.49
108,1783330751.909,10.800,42.1434073,-1.5880606,303.35,46.79,1.00,-6.38,347.55
109,1783330752.009,10.900,42.1434147,-1.5880630,303.03,46.47,1.06,-6.39,347.51
110,1783330752.109,11.000,42.1434210,-1.5880648,303.36,46.80,1.01,-6.43,347.46
111,1783330752.209,11.100,42.1434291,-1.5880674,303.10,46.54,1.04,-6.45,347.48
112,1783330752.309,11.200,42.1434348,-1.5880691,303.39,46.83,0.91,-6.46,347.55
113,1783330752.409,11.300,42.1434426,-1.5880716,303.10,46.54,0.82,-6.50,347.40
114,1783330752.509,11.400,42.1434482,-1.5880732,303.40,46.84,0.80,-6.56,347.46
115,1783330752.609,11.500,42.1434559,-1.5880757,303.10,46.54,0.70,-6.48,347.43
116,1783330752.709,11.600,42.1434615,-1.5880773,303.41,46.85,0.69,-6.57,347.44
117,1783330752.809,11.700,42.1434692,-1.5880797,303.11,46.55,0.55,-6.56,347.41
118,1783330752.909,11.800,42.1434742,-1.5880812,303.38,46.82,0.67,-6.49,347.45
119,1783330753.009,11.900,42.1434816,-1.5880836,303.06,46.50,0.55,-6.54,347.39
120,1783330753.109,12.000,42.1434879,-1.5880854,303.41,46.85,0.63,-6.37,347.36
121,1783330753.209,12.100,42.1434959,-1.5880879,303.14,46.58,0.58,-6.60,347.43
122,1783330753.309,12.200,42.1435015,-1.5880896,303.44,46.88,0.57,-6.36,347.28
123,1783330753.409,12.300,42.1435092,-1.5880920,303.14,46.58,0.68,-6.68,347.34
124,1783330753.509,12.400,42.1435149,-1.5880937,303.45,46.89,0.68,-6.63,347.36
125,1783330753.609,12.500,42.1435225,-1.5880962,303.14,46.58,0.72,-6.71,347.25
126,1783330753.709,12.600,42.1435282,-1.5880977,303.45,46.89,0.78,-6.77,347.34
127,1783330753.809,12.700,42.1435357,-1.5881001,303.15,46.59,0.69,-6.58,347.29
128,1783330753.909,12.800,42.1435408,-1.5881016,303.42,46.86,0.70,-6.79,347.28
129,1783330754.009,12.900,42.1435479,-1.5881040,303.11,46.55,0.73,-6.64,347.28
130,1783330754.109,13.000,42.1435544,-1.5881058,303.44,46.88,0.81,-6.82,347.20
131,1783330754.209,13.100,42.1435622,-1.5881083,303.16,46.60,0.84,-6.92,347.21
132,1783330754.309,13.200,42.1435674,-1.5881098,303.43,46.87,0.84,-6.88,347.26
133,1783330754.409,13.300,42.1435756,-1.5881126,303.17,46.61,0.84,-6.96,347.17
134,1783330754.509,13.400,42.1435814,-1.5881141,303.47,46.91,0.79,-6.82,347.19
135,1783330754.609,13.500,42.1435889,-1.5881167,303.17,46.61,0.90,-6.90,347.15
136,1783330754.709,13.600,42.1435946,-1.5881183,303.46,46.90,1.02,-6.90,347.07
137,1783330754.809,13.700,42.1436021,-1.5881208,303.15,46.59,1.10,-6.83,347.07
138,1783330754.909,13.800,42.1436072,-1.5881223,303.42,46.86,1.11,-6.83,346.99
139,1783330755.009,13.900,42.1436143,-1.5881248,303.09,46.53,1.09,-6.76,346.90
140,1783330755.109,14.000,42.1436208,-1.5881266,303.44,46.88,1.26,-6.65,346.84
141,1783330755.209,14.100,42.1436288,-1.5881293,303.14,46.58,1.28,-6.82,346.85
142,1783330755.309,14.200,42.1436345,-1.5881308,303.46,46.90,1.35,-7.03,346.75
143,1783330755.409,14.300,42.1436420,-1.5881334,303.15,46.59,1.49,-7.20,346.89
144,1783330755.509,14.400,42.1436477,-1.5881349,303.47,46.91,1.57,-7.46,346.88
145,1783330755.609,14.500,42.1436553,-1.5881375,303.17,46.61,1.61,-7.20,346.99
146,1783330755.709,14.600,42.1436610,-1.5881391,303.49,46.93,1.51,-7.34,346.89
147,1783330755.809,14.700,42.1436684,-1.5881415,303.18,46.62,1.26,-7.71,346.99
148,1783330755.909,14.800,42.1436736,-1.5881430,303.45,46.89,0.99,-7.98,347.01
149,1783330756.009,14.900,42.1436807,-1.5881454,303.12,46.56,1.04,-7.75,346.89
150,1783330756.109,15.000,42.1436872,-1.5881471,303.47,46.91,0.99,-7.44,346.94
151,1783330756.209,15.100,42.1436940,-1.5881494,303.13,46.57,0.89,-7.38,346.86
152,1783330756.309,15.200,42.1437005,-1.5881512,303.48,46.92,1.01,-7.35,346.95
153,1783330756.409,15.300,42.1437086,-1.5881537,303.20,46.64,1.17,-7.42,346.96
154,1783330756.509,15.400,42.1437143,-1.5881554,303.51,46.95,1.28,-7.19,346.90
155,1783330756.609,15.500,42.1437219,-1.5881579,303.20,46.64,1.36,-7.24,346.89
156,1783330756.709,15.600,42.1437277,-1.5881596,303.51,46.95,1.30,-7.17,346.99
157,1783330756.809,15.700,42.1437352,-1.5881621,303.20,46.64,1.49,-7.08,346.96
158,1783330756.909,15.800,42.1437404,-1.5881636,303.48,46.92,1.66,-7.14,346.86
159,1783330757.009,15.900,42.1437475,-1.5881660,303.15,46.59,1.92,-6.85,346.91
160,1783330757.109,16.000,42.1437541,-1.5881679,303.51,46.95,2.01,-6.83,346.89
161,1783330757.209,16.100,42.1437622,-1.5881705,303.22,46.66,2.06,-6.66,346.87
162,1783330757.309,16.200,42.1437680,-1.5881722,303.53,46.97,2.08,-6.64,346.89
163,1783330757.409,16.300,42.1437755,-1.5881746,303.23,46.67,1.94,-6.72,346.93
164,1783330757.509,16.400,42.1437814,-1.5881763,303.54,46.98,1.82,-6.95,346.91
165,1783330757.609,16.500,42.1437888,-1.5881786,303.26,46.70,1.76,-7.17,346.93
166,1783330757.709,16.600,42.1437947,-1.5881803,303.55,46.99,1.66,-6.96,346.94
167,1783330757.809,16.700,42.1438020,-1.5881827,303.25,46.69,1.48,-6.46,346.95
168,1783330757.909,16.800,42.1438074,-1.5881842,303.51,46.95,1.31,-6.19,346.98
169,1783330758.009,16.900,42.1438145,-1.5881866,303.18,46.62,1.30,-6.01,346.87
170,1783330758.109,17.000,42.1438213,-1.5881884,303.52,46.96,1.23,-6.03,346.92
171,1783330758.209,17.100,42.1438292,-1.5881908,303.23,46.67,1.28,-6.18,346.98
172,1783330758.309,17.200,42.1438345,-1.5881923,303.50,46.94,1.30,-6.36,346.95
173,1783330758.409,17.300,42.1438425,-1.5881949,303.24,46.68,1.30,-6.46,347.00
174,1783330758.509,17.400,42.1438478,-1.5881964,303.50,46.94,1.36,-6.44,347.00
175,1783330758.609,17.500,42.1438559,-1.5881990,303.22,46.66,1.47,-6.33,346.98
176,1783330758.709,17.600,42.1438612,-1.5882005,303.49,46.93,1.52,-6.08,347.04
177,1783330758.809,17.700,42.1438692,-1.5882031,303.22,46.66,1.75,-5.81,346.99
178,1783330758.909,17.800,42.1438745,-1.5882046,303.49,46.93,1.77,-5.85,347.06
179,1783330759.009,17.900,42.1438816,-1.5882070,303.16,46.60,1.70,-5.76,347.03
180,1783330759.109,18.000,42.1438874,-1.5882086,303.47,46.91,1.59,-5.87,347.05
181,1783330759.209,18.100,42.1438960,-1.5882113,303.24,46.68,1.49,-6.11,347.18
182,1783330759.309,18.200,42.1439019,-1.5882130,303.55,46.99,1.48,-6.18,347.13
183,1783330759.409,18.300,42.1439094,-1.5882154,303.24,46.68,1.47,-6.34,347.09
184,1783330759.509,18.400,42.1439151,-1.5882170,303.55,46.99,1.52,-6.20,347.12
185,1783330759.609,18.500,42.1439220,-1.5882192,303.32,46.76,1.46,-6.16,347.15
186,1783330759.709,18.600,42.1439275,-1.5882208,303.55,46.99,1.44,-6.35,347.06
187,1783330759.809,18.700,42.1439352,-1.5882232,303.32,46.76,1.57,-6.56,346.96
188,1783330759.909,18.800,42.1439401,-1.5882246,303.53,46.97,1.70,-6.52,346.96
189,1783330760.009,18.900,42.1439478,-1.5882273,303.21,46.65,1.78,-6.75,346.91
190,1783330760.109,19.000,42.1439537,-1.5882288,303.51,46.95,1.73,-6.61,346.93
191,1783330760.209,19.100,42.1439620,-1.5882314,303.29,46.73,1.58,-6.69,346.95
192,1783330760.309,19.200,42.1439674,-1.5882329,303.54,46.98,1.38,-6.62,347.01
193,1783330760.409,19.300,42.1439756,-1.5882355,303.26,46.70,1.34,-6.17,347.08
194,1783330760.509,19.400,42.1439809,-1.5882369,303.53,46.97,1.28,-6.34,347.08
195,1783330760.609,19.500,42.1439887,-1.5882394,303.31,46.75,1.12,-5.80,347.07
196,1783330760.709,19.600,42.1439948,-1.5882411,303.58,47.02,0.99,-5.78,347.11
197,1783330760.809,19.700,42.1440019,-1.5882433,303.31,46.75,0.83,-5.64,347.18
198,1783330760.909,19.800,42.1440073,-1.5882448,303.55,46.99,0.71,-5.37,347.20
199,1783330761.009,19.900,42.1440141,-1.5882470,303.25,46.69,0.72,-5.54,347.29
200,1783330761.109,20.000,42.1440209,-1.5882488,303.55,46.99,0.52,-5.47,347.30
201,1783330761.209,20.100,42.1440285,-1.5882512,303.30,46.74,0.39,-5.87,347.34
202,1783330761.309,20.200,42.1440346,-1.5882529,303.57,47.01,0.25,-5.87,347.44
203,1783330761.409,20.300,42.1440418,-1.5882551,303.32,46.76,0.21,-6.41,347.45
204,1783330761.509,20.400,42.1440479,-1.5882568,303.57,47.01,0.13,-6.31,347.51
205,1783330761.609,20.500,42.1440552,-1.5882591,303.29,46.73,-0.21,-6.59,347.61
206,1783330761.709,20.600,42.1440613,-1.5882608,303.56,47.00,-0.29,-6.75,347.61
207,1783330761.809,20.700,42.1440685,-1.5882631,303.28,46.72,-0.15,-6.63,347.54
208,1783330761.909,20.800,42.1440739,-1.5882646,303.52,46.96,-0.00,-6.75,347.62
209,1783330762.009,20.900,42.1440807,-1.5882669,303.24,46.68,0.20,-6.91,347.50
210,1783330762.109,21.000,42.1440875,-1.5882688,303.54,46.98,0.26,-6.74,347.56
211,1783330762.209,21.100,42.1440952,-1.5882713,303.27,46.71,0.29,-6.80,347.45
212,1783330762.309,21.200,42.1441005,-1.5882728,303.51,46.95,0.19,-6.70,347.47
213,1783330762.409,21.300,42.1441086,-1.5882755,303.26,46.70,0.27,-6.81,347.35
214,1783330762.509,21.400,42.1441146,-1.5882772,303.53,46.97,0.39,-6.66,347.35
215,1783330762.609,21.500,42.1441220,-1.5882797,303.23,46.67,0.32,-6.81,347.29
216,1783330762.709,21.600,42.1441273,-1.5882812,303.48,46.92,0.34,-6.69,347.34
217,1783330762.809,21.700,42.1441352,-1.5882838,303.25,46.69,0.29,-6.83,347.27
218,1783330762.909,21.800,42.1441406,-1.5882854,303.49,46.93,0.39,-6.81,347.25
219,1783330763.009,21.900,42.1441487,-1.5882880,303.25,46.69,0.49,-6.32,347.26
220,1783330763.109,22.000,42.1441548,-1.5882898,303.52,46.96,0.66,-6.27,347.23
221,1783330763.209,22.100,42.1441622,-1.5882924,303.22,46.66,0.70,-6.00,347.28
222,1783330763.309,22.200,42.1441676,-1.5882939,303.47,46.91,0.77,-6.06,347.19
223,1783330763.409,22.300,42.1441758,-1.5882967,303.19,46.63,0.82,-5.66,347.25
