case_id,family,stratum,seed,condition,method,status,exception,voxel_iou,bev_iou,normalized_symmetric_chamfer,heldout_silhouette_iou,volume_error,gt_outside_prediction,prediction_outside_gt,inference_ms,primitive_count,triangle_equiv,descriptor_bytes,evaluations,objective,top_fit_iou,side_fit_iou,theta_json
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,sppa_mvfit,pass,,0.6007590132827324,0.7617021276595745,nan,nan,0.11106135244066279,0.29108822212270485,0.20251889168765744,11.0389,8,896,1483,31,0.28202832395950556,0.8014311270125224,0.6397058823529411,"[-0.2824247345970967,-0.10178269430994223,-0.40502705668942907,1.105,0.0]"
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,generic_mvfit,pass,,0.5323343848580442,0.8644859813084113,nan,nan,0.6103896103896104,0.09314823107926556,0.4368743047830923,11.7752,8,1280,1427,31,0.25375695436039153,0.8531073446327684,0.645909645909646,"[-0.2231435513142097,0.3004432400997752,0.3955670336935313,0.755,0.0]"
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,sppa_text_only,pass,,0.1159699479869004,0.6357388316151202,nan,nan,0.5942678011643528,0.7304075235109718,0.8308988764044943,1.7328,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,bbox,pass,,0.23694821731748728,0.6151315789473685,nan,nan,3.220331392745186,0.0,0.7630517826825127,0.247,1,12,165,0,,,,
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,ellipsoid,pass,,0.42576463439335627,0.7782426778242678,nan,nan,1.1522615315718765,0.05866547245857591,0.5626300457761132,0.5012,1,160,171,0,,,,
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,capsule,pass,,0.4034731202660262,0.7420634920634921,nan,nan,1.4021495745633676,0.0219435736677116,0.5928411633109619,0.9108,3,384,586,0,,,,
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,billboard,pass,,0.12013120131201312,0.8617511520737328,nan,nan,0.7765338110165696,0.8687863860277654,0.41282565130260523,0.2563,499,5988,32768,0,,,,
dev-csg_id-branching_vertical-009,branching_vertical,csg_id,110081,mask_corruption,nonsemantic_visual_hull,pass,,0.48249783923941225,0.8697674418604651,nan,nan,1.0725481415136588,0.0,0.5175021607605877,0.2319,4628,55536,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,sppa_mvfit,pass,,0.5695841716968477,0.805,0.012528793142858359,0.8070694703303474,0.37890724269377385,0.13672172808132146,0.37394028750460745,11.0906,8,896,1479,31,0.20288868100307977,0.8255687973997833,0.7710604558969276,"[-0.18755523805272528,0.2679317279255292,0.05971923470162228,1.1400000000000001,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,generic_mvfit,pass,,0.16761455091748043,0.825065274151436,0.038436857593746265,0.353358339266605,0.7651842439644219,0.6030495552731894,0.7751223725885402,11.9076,8,1280,1286,31,0.3892628573954753,0.8357380688124306,0.40014114326040934,"[-0.06899287148695131,0.5877866649021191,0.5877866649021191,0.79,0.06999999999999999]"
